run_id,run_time_seconds
1,5.681240749
2,5.193098298
3,5.131562655
4,5.348471519
5,5.142238804
6,5.473250949
7,5.186395717
8,5.465842012
9,5.176538137
10,5.418542041
11,5.131370631
12,5.498802872
13,5.189062833
14,5.375667755
15,5.057773749
16,5.313517608
17,5.202107924
18,5.39457692
19,5.19910361
20,5.34913788
21,5.314015851
22,5.341990138
23,5.122457027
24,5.355414526
25,5.187676971
26,5.317656739
27,5.018710782
28,5.325406411
29,5.199018339
30,5.474687256
31,5.168598886
32,5.313895764
33,5.235543604
34,5.466348089
35,4.975945352
36,5.033242597
37,5.0711099
38,5.005162059
39,5.191080451
40,4.985758437
41,5.048279536
42,5.037035933
43,5.204843029
44,5.178381906
45,5.165140664
46,5.033992915
47,5.234764068
48,5.179697554
49,5.083136584
50,5.15772888
51,5.058762198
52,5.215942208
53,5.266113171
54,5.15051955
55,5.325999985
56,5.135257104
57,5.282419923
58,5.278800585
59,5.297101549
60,5.163986079
61,5.25935265
62,4.948908007
63,5.189567927
64,5.21113841
65,5.47540822
66,5.158359504
67,5.134959672
68,4.957634398
69,5.070819631
70,5.156490277
71,5.375262377
72,5.134351641
73,5.230582658
74,5.155398381
75,5.169149817
76,5.009935309
77,5.155827363
78,5.228375572
79,5.238365242
80,5.183422152
81,5.253966689
82,5.146002275
83,5.289365893
84,5.1440073
85,5.064406908
86,5.141621334
87,5.282131937
88,5.171373396
89,5.310728852
90,5.185138158
91,5.171214805
92,5.064895683
93,5.245143777
94,5.191048229
95,5.265162421
96,5.122705878
97,5.190938672
98,5.218909974
99,5.316138077
100,5.017230441
