library,run_idx,run_time
polars,1,21.679061889648438
polars,2,23.877576112747192
polars,3,24.394366025924683
polars,4,22.763504028320312
polars,5,23.84712028503418
polars,6,22.357060432434082
polars,7,22.380141735076904
polars,8,23.25812578201294
polars,9,23.056135892868042
polars,10,21.760133743286133
polars,11,23.236767530441284
polars,12,21.767991542816162
polars,13,21.23466157913208
polars,14,24.6442973613739
polars,15,21.89858102798462
polars,16,21.850565433502197
polars,17,22.158785820007324
polars,18,22.03582739830017
polars,19,20.960335731506348
polars,20,23.208496809005737
polars,21,21.622729539871216
polars,22,21.255568027496338
polars,23,23.420396089553833
polars,24,21.842833518981934
polars,25,21.762633323669434
polars,26,21.421309232711792
polars,27,21.882612466812134
polars,28,21.686829566955566
polars,29,22.14198899269104
polars,30,21.604679584503174
polars,31,21.882826805114746
polars,32,22.24268388748169
polars,33,21.71004009246826
polars,34,21.027404308319092
polars,35,21.618776321411133
polars,36,20.9672634601593
polars,37,21.39189839363098
polars,38,22.04164958000183
polars,39,20.920477151870728
polars,40,21.330440282821655
polars,41,23.60292077064514
polars,42,20.809083700180054
polars,43,22.426482439041138
polars,44,20.957460403442383
polars,45,21.86071228981018
polars,46,20.570518493652344
polars,47,22.352715015411377
polars,48,20.92723512649536
polars,49,21.128323554992676
polars,50,21.814576387405396
polars_eager,1,36.353246450424194
polars_eager,2,35.984477519989014
polars_eager,3,39.0654616355896
polars_eager,4,38.05115509033203
polars_eager,5,41.24889588356018
polars_eager,6,38.50519394874573
polars_eager,7,39.949596881866455
polars_eager,8,38.86453461647034
polars_eager,9,39.16020441055298
polars_eager,10,40.045818567276
polars_eager,11,40.119635581970215
polars_eager,12,39.33824110031128
polars_eager,13,40.63168787956238
polars_eager,14,40.53355574607849
polars_eager,15,40.39712929725647
polars_eager,16,39.803876638412476
polars_eager,17,39.910330057144165
polars_eager,18,39.736223220825195
polars_eager,19,39.061617612838745
polars_eager,20,38.90388822555542
polars_eager,21,39.90900635719299
polars_eager,22,40.696279764175415
polars_eager,23,39.992316246032715
polars_eager,24,40.24730038642883
polars_eager,25,40.43714118003845
polars_eager,26,39.96570086479187
polars_eager,27,37.9816689491272
polars_eager,28,39.85582256317139
polars_eager,29,38.19186782836914
polars_eager,30,38.92709970474243
polars_eager,31,39.27406358718872
polars_eager,32,40.018141984939575
polars_eager,33,39.32678961753845
polars_eager,34,39.947877645492554
polars_eager,35,40.49287462234497
polars_eager,36,40.369688272476196
polars_eager,37,39.128424644470215
polars_eager,38,40.42274451255798
polars_eager,39,39.202012062072754
polars_eager,40,40.31501221656799
polars_eager,41,39.56516623497009
polars_eager,42,39.30257701873779
polars_eager,43,40.06534147262573
polars_eager,44,40.17844843864441
polars_eager,45,38.98823094367981
polars_eager,46,38.368414878845215
polars_eager,47,40.938355684280396
polars_eager,48,39.91698241233826
polars_eager,49,40.62841868400574
polars_eager,50,40.12353229522705
pandas,1,579.005108833313
pandas,2,870.7806866168976
pandas,3,833.7660315036774
pandas,4,815.8703997135162
pandas,5,758.2579867839813
pandas,6,806.9765584468842
pandas,7,934.8614280223846
pandas,8,752.5317089557648
pandas,9,845.6082475185394
pandas,10,1196.641444683075
pandas,11,742.3335611820221
pandas,12,869.0189645290375
pandas,13,727.0116319656372
pandas,14,783.4674789905548
pandas,15,883.5600249767303
pandas,16,771.0861802101135
pandas,17,814.482339143753
pandas,18,903.3397097587585
pandas,19,927.217776298523
pandas,20,725.3615415096283
pandas,21,844.9719579219818
pandas,22,987.4914577007294
pandas,23,912.3251066207886
pandas,24,883.0889403820038
pandas,25,787.5283682346344
pandas,26,888.1422188282013
pandas,27,1098.271194934845
pandas,28,719.1879422664642
pandas,29,911.8175604343414
pandas,30,857.5376799106598
pandas,31,928.9292850494385
pandas,32,815.0148391723633
pandas,33,808.8502764701843
pandas,34,839.520176410675
pandas,35,886.6049082279205
pandas,36,934.2485256195068
pandas,37,874.311550617218
pandas,38,901.7048122882843
pandas,39,942.4665546417236
pandas,40,812.5142638683319
pandas,41,805.7239365577698
pandas,42,825.3167855739594
pandas,43,977.0885329246521
pandas,44,681.3178670406342
pandas,45,782.4770758152008
pandas,46,1131.168687582016
pandas,47,930.0556085109711
pandas,48,899.3335638046265
pandas,49,1007.4221699237823
pandas,50,919.7456192970276
